date,asset,name,close,change_pct,ratio30,ratio50,ratio60,ratio100,ratio120,ratio200,current_drawdown_pct,mdd_252_pct,source,generated_at
2026-07-16,KOSDAQ,KOSDAQ,791.84,-4.532,87.2698,79.4204,76.8373,74.1687,73.9001,78.9202,-35.4222,-36.0632,Yahoo Finance fallback,2026-07-21T06:44:44+09:00
2026-07-16,KOSPI,KOSPI,6820.6001,-6.3672,84.8522,85.4434,88.0855,98.6079,102.8747,122.1383,-25.168,-25.318,Yahoo Finance fallback,2026-07-21T06:44:44+09:00
2026-07-16,SAMSUNG,삼성전자,255000.0,-8.7657,81.4783,83.2354,87.2367,100.7702,107.165,137.7124,-29.6552,-29.7931,KRX(pykrx),2026-07-19T14:29:25+09:00
2026-07-16,SKHYNIX,SK하이닉스,1842000.0,-11.5274,79.0592,84.1349,90.4826,114.4526,124.3929,166.2155,-36.8962,-36.8962,KRX(pykrx),2026-07-19T14:29:25+09:00
2026-07-16,VKOSPI,VKOSPI,78.1856,1.8831,109.7149,128.8523,134.7793,128.5071,141.3611,182.3471,-3.1473,-62.1374,KOSPI 20일 실현변동성 대체지표,2026-07-19T14:29:25+09:00
2026-07-17,NDX,나스닥100,28592.6602,-1.4922,96.7763,96.7644,97.9866,104.264,105.6973,108.5684,-6.7446,-12.1228,Yahoo Finance fallback,2026-07-20T18:45:06+09:00
2026-07-17,SOX,SOX,11673.8896,-1.6314,89.1877,91.6324,94.5476,109.3485,113.9453,129.9609,-20.2315,-20.2315,Yahoo Finance fallback,2026-07-20T18:45:06+09:00
2026-07-17,USDKRW,원/달러,1487.46,0.0848,97.6251,98.1804,98.6669,99.2468,99.8253,100.8638,-4.3114,-4.7278,Yahoo Finance fallback,2026-07-19T14:29:25+09:00
2026-07-20,KOSDAQ,KOSDAQ,749.64,-5.3294,83.3933,75.8889,73.2461,70.4829,70.0853,74.7543,-38.8638,-38.8638,Yahoo Finance fallback,2026-07-20T18:45:06+09:00
2026-07-20,KOSPI,KOSPI,6516.27,-4.4619,81.6227,81.8089,84.1014,94.1118,98.0835,116.3702,-28.5069,-28.5069,Yahoo Finance fallback,2026-07-20T18:45:06+09:00
2026-07-20,NDX,나스닥100,28604.2305,0.0405,97.0129,96.8033,97.933,104.1684,105.646,108.5315,-6.7069,-12.1228,Yahoo Finance fallback,2026-07-21T14:01:59+09:00
2026-07-20,SAMSUNG,삼성전자,244000.0,-4.3137,78.6758,79.7594,83.3333,96.2183,102.1886,131.1927,-32.6897,-32.6897,KRX(pykrx),2026-07-21T06:44:44+09:00
2026-07-20,SKHYNIX,SK하이닉스,1764000.0,-4.2345,76.0443,80.4524,86.2289,109.0538,118.4449,158.1701,-39.5683,-39.5683,KRX(pykrx),2026-07-21T06:44:44+09:00
2026-07-20,SOX,SOX,11743.8496,0.5993,90.1524,92.1423,94.8792,109.6535,114.2734,130.3499,-19.7535,-20.2315,Yahoo Finance fallback,2026-07-21T14:01:59+09:00
2026-07-20,SPX,S&P500,7443.2798,-0.1932,99.7854,99.6898,100.2893,104.0137,104.6239,106.4694,-2.188,-9.0975,Yahoo Finance fallback,2026-07-21T14:01:59+09:00
2026-07-20,USDKRW,원/달러,1475.52,-0.2252,97.0274,97.3841,97.8833,98.4315,99.014,100.0391,-5.0795,-5.0795,Yahoo Finance fallback,2026-07-21T06:44:44+09:00
2026-07-20,VKOSPI,VKOSPI,86.91,-0.26,,,,,,,0.0,-62.1374,Investing.com KOSPI Volatility 화면; 사용자 제공 스크린샷,2026-07-21T14:01:59+09:00
2026-07-21,KOSDAQ,KOSDAQ,755.72,0.8111,84.5578,77.1975,74.3527,71.3203,70.7615,75.401,-38.3679,-38.8638,Yahoo Finance fallback,2026-07-21T14:01:59+09:00
2026-07-21,KOSPI,KOSPI,6813.6099,4.563,85.5869,85.6874,87.8586,98.2688,102.3148,121.3154,-25.2447,-28.5069,Yahoo Finance fallback,2026-07-21T14:01:59+09:00
2026-07-21,SAMSUNG,삼성전자,259750.0,6.4549,84.0774,84.9731,88.5071,102.1602,108.3678,138.9883,-28.3448,-32.6897,KRX(pykrx),2026-07-21T14:01:59+09:00
2026-07-21,SKHYNIX,SK하이닉스,1853500.0,5.0737,79.9686,84.3808,90.1416,113.9511,123.6838,165.0846,-36.5022,-39.5683,KRX(pykrx),2026-07-21T14:01:59+09:00
2026-07-21,USDKRW,원/달러,1473.87,-0.909,97.0106,97.2608,97.7601,98.2995,98.8849,99.9055,-5.1857,-5.1857,Yahoo Finance fallback,2026-07-21T14:01:59+09:00
